Week,Date Start,Date End,Phase,Objective,Session 1,Session 2,Session 3,Session 4,Optional Session,Status,Notes
1,2026-07-06,2026-07-12,Foundation + Diagnostic,Baseline and format familiarisation,Timed Academic Reading diagnostic,Timed Listening diagnostic,Write Task 2 baseline essay,Record Speaking Part 2 answer,Task 1 baseline report,Not Started,
2,2026-07-13,2026-07-19,Foundation + Diagnostic,Reading fundamentals and error review,Skimming/scanning + one passage,TFNG/YNNG drills,Vocabulary from passage,Speaking Part 1 expansion,Review Week 1 errors,Not Started,
3,2026-07-20,2026-07-26,Foundation + Diagnostic,Listening fundamentals,Listening Sections 1-2,Transcript review,Spelling/numbers/plurals drill,Task 1 overview paragraph,Weakest skill repair,Not Started,
4,2026-07-27,2026-08-02,Foundation + Diagnostic,Writing structure setup,Task 1 line/bar chart,Task 2 structure practice,Full Task 2 essay,Speaking Part 2 timing,Mini review,Not Started,
5,2026-08-03,2026-08-09,Skill Building,Matching headings and Task 1 chart language,Reading matching headings,Listening Sections 1-2,Task 1 line/bar chart,Speaking Part 1 fluency,Error log update,Not Started,
6,2026-08-10,2026-08-16,Skill Building,TFNG and opinion essays,Reading TFNG/YNNG,Listening Section 3,Task 2 opinion essay,Speaking Part 2 structure,Rewrite essay paragraph,Not Started,
7,2026-08-17,2026-08-23,Skill Building,Completion tasks and Task 1 tables,Reading sentence completion,Listening Section 4 lecture,Task 1 table report,Speaking Part 3 reasons/examples,Vocabulary review,Not Started,
8,2026-08-24,2026-08-30,Skill Building,Multiple choice and map listening,Reading multiple choice,Listening map/diagram,Task 2 discussion essay,Speaking topic: technology/work,Weakest skill repair,Not Started,
9,2026-08-31,2026-09-06,Skill Building,First full LR check,Full Academic Reading test,Full Listening test,Task 1 process/map,Speaking Part 2 recording,Deep review,Not Started,
10,2026-09-07,2026-09-13,Skill Building,Consolidation and rewrite week,Reading error repair,Listening error repair,Rewrite old Task 2,Speaking self-correction,Update error log,Not Started,
11,2026-09-14,2026-09-20,Band 7 Development,Task 2 quality: thesis and examples,Task 2 planning drills,Full Task 2 essay,Reading passage under 20 min,Speaking Part 3 abstract answers,Rewrite body paragraph,Not Started,
12,2026-09-21,2026-09-27,Band 7 Development,Academic Reading speed,Full Reading test,Review wrong question types,Task 1 mixed chart,Listening Section 3,Vocabulary notebook,Not Started,
13,2026-09-28,2026-10-04,Band 7 Development,Listening Sections 3-4 accuracy,Listening Section 3,Listening Section 4,Transcript shadowing,Task 2 problem/solution,Spelling drill,Not Started,
14,2026-10-05,2026-10-11,Band 7 Development,Task 1 overview mastery,Task 1 line/table,Task 1 process/map,Reading passage,Speaking Part 2,Task 1 rewrite,Not Started,
15,2026-10-12,2026-10-18,Band 7 Development,Speaking expansion and fluency,Speaking Part 1 + 2,Speaking Part 3,Listening full test,Task 2 advantages/disadvantages,Pronunciation review,Not Started,
16,2026-10-19,2026-10-25,Band 7 Development,Half mock and review,Timed Listening,Timed Reading,Task 2 in 40 min,Speaking full mock,Error repair,Not Started,
17,2026-10-26,2026-11-01,Mock Practice + Weakness Repair,Full LR mock,Full Listening test,Full Reading test,Wrong-answer analysis,Task 1 report,Weakest skill repair,Not Started,
18,2026-11-02,2026-11-08,Mock Practice + Weakness Repair,Full Writing mock,Task 1 in 20 min,Task 2 in 40 min,Self-assessment with band descriptors,Speaking Part 3,Rewrite weak answer,Not Started,
19,2026-11-09,2026-11-15,Mock Practice + Weakness Repair,Speaking mock week,Full Speaking mock 1,Full Speaking mock 2,Vocabulary repair,Listening Section 4,Reflection update,Not Started,
20,2026-11-16,2026-11-22,Mock Practice + Weakness Repair,Full LRW stamina,Full Listening,Full Reading,Full Writing,Mock test review,Rest/repair session,Not Started,
21,2026-11-23,2026-11-29,Mock Practice + Weakness Repair,Lowest skill repair,Weakest skill session 1,Weakest skill session 2,Weakest skill session 3,Speaking light practice,Progress chart review,Not Started,
22,2026-11-30,2026-12-06,Mock Practice + Weakness Repair,Full mock and comparison,Full Listening,Full Reading,Task 1 + Task 2,Speaking mock,Compare to Week 1,Not Started,
23,2026-12-07,2026-12-13,Final Preparation,Test simulation,Full LRW mock,Full Speaking mock,Mock review,Task 1 quick review,Error log review,Not Started,
24,2026-12-14,2026-12-20,Final Preparation,Writing polishing,Task 1 visual types review,Task 2 essay types review,Reusable idea bank,Speaking Part 3,Rewrite old essay,Not Started,
25,2026-12-21,2026-12-27,Final Preparation,Accuracy week,Listening common traps,Reading TFNG/headings,Writing grammar cleanup,Speaking fluency,No new strategy,Not Started,
26,2026-12-28,2026-12-31,Final Preparation,Light final review,Review templates,Review vocabulary notebook,Light Listening/Reading,Speaking confidence practice,Plan exam-week routine,Not Started,
